,daily_return
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,0.0
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-03,-0.0035428914062199937
2019-06-04,0.021706636908962906
2019-06-05,0.00866214909761931
2019-06-06,0.006502673146223659
2019-06-07,0.010007044331713288
2019-06-10,0.004588935693472518
2019-06-11,-0.00024226502378454917
2019-06-12,-0.0017652449249604407
2019-06-13,0.004126259105325714
2019-06-14,-0.001104968649346838
2019-06-17,0.00038023006239829016
2019-06-18,0.010471019215623212
2019-06-19,0.0022571945139746585
2019-06-20,0.009554315895361709
2019-06-21,-0.006286708049932255
2019-06-24,-0.0012244399713010612
2019-06-25,-0.009807944214485276
2019-06-26,-0.0009974155151378783
2019-06-27,0.003545972991938262
2019-06-28,0.004145797598627766
2019-07-01,0.008078510792182247
2019-07-02,0.0026043056353062255
2019-07-03,0.007995125917571011
2019-07-05,-0.0011378726632552683
2019-07-08,-0.005494820672157674
2019-07-09,0.0012465302474820028
2019-07-10,0.00477803054776782
2019-07-11,0.0023442357636067612
2019-07-12,0.004476951484483349
2019-07-15,0.0003326329803621242
2019-07-16,-0.0032252742168017434
2019-07-17,-0.00680501885792506
2019-07-18,0.0036609000256653257
2019-07-19,-0.0055549082057393395
2019-07-22,0.0024564405416616086
2019-07-23,0.0071500668897384045
2019-07-24,0.004699542271926482
2019-07-25,-0.004777078124148959
2019-07-26,0.006700032552083401
2019-07-29,-0.001821192320657583
2019-07-30,-0.0024546880360581946
2019-07-31,-0.011940438053893443
2019-08-01,-0.009707919179872015
2019-08-02,-0.00752951176325134
2019-08-05,-0.030073091175620292
2019-08-06,0.014022903128895647
2019-08-07,0.0005907346592963769
2019-08-08,0.019620078037761113
2019-08-09,-0.006811525213743619
2019-08-12,-0.012173334656089607
2019-08-13,0.01555170741432943
2019-08-14,-0.029567575653449696
2019-08-15,0.002641775329778495
2019-08-16,0.014755005435055812
2019-08-19,0.012047707790260098
2019-08-20,-0.00766254006521927
2019-08-21,0.008135461060131632
2019-08-22,-0.0003078367300768381
2019-08-23,-0.025687438857325606
2019-08-26,0.011058430152673493
2019-08-27,-0.003923628065321205
2019-08-28,0.007041585267308248
2019-08-29,0.012772929962008517
2019-08-30,-0.0014442353243538921
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,0.0
2019-09-30,0.0
2019-10-01,-0.012894729622186518
2019-10-02,-0.01766468711051683
2019-10-03,0.008192792783248581
2019-10-04,0.013532100041580453
2019-10-07,-0.004314657737100158
2019-10-08,-0.015524730453905788
2019-10-09,0.009496379045393022
2019-10-10,0.006763488498674919
2019-10-11,0.010366964418775604
2019-10-14,-0.0011137659431119662
2019-10-15,0.009900295843649376
2019-10-16,-0.0016060324494318046
2019-10-17,0.002949078085831891
2019-10-18,-0.0043771637394312
2019-10-21,0.00677916906197451
2019-10-22,-0.0032667105591902557
2019-10-23,0.002909585260605363
2019-10-24,0.001633954336390353
2019-10-25,0.004094986204758122
2019-10-28,0.005636543949106176
2019-10-29,-0.0002967238427720176
2019-10-30,0.003067257740736906
2019-10-31,-0.0036633393738347833
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,0.0
2019-11-08,0.0
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-29,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,0.0064285396116215985
2020-02-04,0.015241276427948147
2020-02-05,0.011548008938072396
2020-02-06,0.0033648551464744436
2020-02-07,-0.005329656628371482
2020-02-10,0.007465323231850007
