,daily_return
2020-03-11,0.0
2020-03-12,0.00010943182001543761
2020-03-13,0.0002184485576137707
2020-03-16,0.00010900489964793536
2020-03-17,0.0
2020-03-18,0.00021818154092279052
2020-03-19,-0.00021813394812186804
2020-03-20,0.00032727231138407475
2020-03-23,-0.0002179147202957532
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,-0.0002182554401854997
2020-03-30,0.0
2020-03-31,0.00010900489964793536
2020-04-01,-8.748766985922085e-05
2020-04-02,0.00010949135595073045
2020-04-03,-0.00032746061235333634
2020-04-06,0.00010902632355014319
2020-04-07,-0.00021802887621369393
2020-04-08,0.00010903821158558813
2020-04-09,-0.00021844377292490336
2020-04-13,0.00021849150103259163
2020-04-14,0.00010902632355014319
2020-04-15,-0.00010901443810684697
2020-04-16,-0.00010902632355025421
2020-04-17,0.00021807642317117626
2020-04-20,-0.00010901443810684697
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.00010902632355014319
2020-04-24,-0.00010901443810684697
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,-0.00010902632355025421
2020-04-30,-0.015006146585340472
2020-05-01,-0.0011748141841569906
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.00010952243816508833
2020-05-07,-0.00010951044431417589
2020-05-08,0.0
2020-05-11,-0.0007319674847290117
2020-05-12,-0.02993659197331209
2020-05-13,-0.001
2020-05-14,0.00010921711276701274
2020-05-15,-0.000218703670897602
2020-05-18,0.0
2020-05-19,-0.016446457561172
2020-05-20,-0.001
2020-05-21,-0.01139530311814738
2020-05-22,0.0028083909056157096
2020-05-26,0.018441661800146412
2020-05-27,0.022278484822052656
2020-05-28,-0.002807246741772662
2020-05-29,0.006644746325956152
2020-06-01,0.006022380373130098
2020-06-02,0.012380702731674043
2020-06-03,0.01992310830594559
2020-06-04,-0.003980153482964744
2020-06-05,0.03840462159078719
2020-06-08,0.01809172690658436
2020-06-09,-0.011225234812528828
2020-06-10,-0.00840947598239481
2020-06-11,-0.08651321296978656
2020-06-12,0.017923915464284977
2020-06-15,0.01396376117005096
2020-06-16,0.028832094703801124
2020-06-17,-0.006270327482737015
2020-06-18,0.0005381127215040803
2020-06-19,-0.00861232168837065
2020-06-22,0.00958317406367506
2020-06-23,0.006865742694496268
2020-06-24,-0.03830284795113235
2020-06-25,0.01604120813929013
2020-06-26,-0.03566709987943898
2020-06-29,0.022006869097325875
2020-06-30,0.019174690384217062
2020-07-01,0.010467249765117504
2020-07-02,0.008220963962034445
2020-07-06,0.023115726221957476
2020-07-07,-0.015509871933759722
2020-07-08,0.011433399966901315
2020-07-09,-0.008579217289569762
2020-07-10,0.01527611565874023
2020-07-13,-0.013028372367793228
2020-07-14,0.019399162295690962
2020-07-15,0.013741192142062842
2020-07-16,-0.004980010846144445
2020-07-17,0.004308910645029717
2020-07-20,0.012082830813570778
2020-07-21,0.0031515414824550224
2020-07-22,0.00849848105203701
2020-07-23,-0.0179371267790581
2020-07-24,-0.009700517846288259
2020-07-27,0.010899248260857886
2020-07-28,-0.009553385478281806
2020-07-29,0.018408384885543215
2020-07-30,-0.005391585643029029
2020-07-31,0.011813416625798401
2020-08-03,0.010388664181873031
2020-08-04,0.0057541632041934404
2020-08-05,0.009276865264719514
2020-08-06,0.009987432605941171
2020-08-07,0.0010372675825305543
2020-08-10,0.00444355276721422
2020-08-11,-0.012422016039909256
2020-08-12,0.020873910642168612
2020-08-13,-0.0027510563307322267
2020-08-14,4.649371082487833e-06
2020-08-17,0.00472512307356967
2020-08-18,0.003201129331393071
2020-08-19,-0.006285543770216207
2020-08-20,0.0046309075562521946
2020-08-21,0.005281169065518365
2020-08-24,0.015160054050067507
2020-08-25,0.005209318169046817
2020-08-26,0.014998929841893905
2020-08-27,0.0032398009218746137
2020-08-28,0.009649409526328334
2020-08-31,-0.005472994479260063
2020-09-01,0.014087835701838714
2020-09-02,0.021656558124801183
2020-09-03,-0.05166169733136481
2020-09-04,-0.012286423417973513
2020-09-08,-0.04102412276848203
2020-09-09,0.029581328424203267
2020-09-10,-0.026084950719246526
2020-09-11,0.0007237058563398734
2020-09-14,0.019717653337346118
2020-09-15,0.007538604267392967
2020-09-16,-0.005992909654781032
2020-09-17,-0.013232398767546982
2020-09-18,-0.017308545946929522
2020-09-21,-0.016734130175344565
2020-09-22,0.015237069360817946
2020-09-23,-0.03482598242508459
2020-09-24,0.003958252145657059
2020-09-25,0.024210703068500504
2020-09-28,0.024874168189646183
2020-09-29,-0.008208521419934755
2020-09-30,0.01133333911671044
2020-10-01,0.00959058208193655
2020-10-02,-0.014281806339834313
2020-10-05,0.02656000015747819
2020-10-06,-0.021363025650261193
2020-10-07,0.026069948601430547
2020-10-08,0.013253822851696096
2020-10-09,0.013355221079469981
2020-10-12,0.024092017456483837
2020-10-13,-0.009828843094547823
2020-10-14,-0.009464571211024541
2020-10-15,-0.0018934927753043508
2020-10-16,-0.0009462640636162868
2020-10-19,-0.02284498481748535
2020-10-20,0.005969073491776688
2020-10-21,-0.0028789724490093983
2020-10-22,0.008188420205988112
2020-10-23,0.005052711480958227
2020-10-26,-0.02775967278643441
2020-10-27,-0.005210111378231109
2020-10-28,-0.051308197233737786
2020-10-29,0.015205129368756088
2020-10-30,-0.015676903471494343
2020-11-02,0.0167731940554914
2020-11-03,0.026444562098411416
2020-11-04,0.0334838103833637
2020-11-05,0.029214587384431855
2020-11-06,-0.00038235172972426193
2020-11-09,0.01880875715523058
2020-11-10,-0.0022398247340577383
2020-11-11,0.01110321386965254
2020-11-12,-0.014590841054085845
2020-11-13,0.02072697480384835
2020-11-16,0.018684318397686604
2020-11-17,-0.008107262860518582
2020-11-18,-0.01809191162924182
2020-11-19,0.006275785373610309
2020-11-20,-0.010311510288354952
2020-11-23,0.008951789594723114
2020-11-24,0.02413086697384794
2020-11-25,-0.002352241350211648
2020-11-27,0.004137525636950378
2020-11-30,-0.006680062975323731
2020-12-01,0.016366581699976977
2020-12-02,0.0031158951217751473
2020-12-03,-0.00044879268550671606
2020-12-04,0.012886594600637702
