,daily_return
2020-01-03,-0.009280805666244701
2020-01-06,0.0029049108313980413
2020-01-07,-0.004661582263438853
2020-01-08,0.005036968845043946
2020-01-09,0.007339494484919867
2020-01-10,-0.0030698414336077784
2020-01-13,0.003954614082175322
2020-01-14,-0.00180466556538242
2020-01-15,-0.0022952218789403962
2020-01-16,0.008921853522790226
2020-01-17,0.00455862299880092
2020-01-21,-0.0035258653931859248
2020-01-22,0.000817865496164676
2020-01-23,-0.0033409310817366206
2020-01-24,-0.01575851532751622
2020-01-27,-0.01046162264052448
2020-01-28,0.010324652660722146
2020-01-29,-0.001594544602472185
2020-01-30,0.0034637148320452696
2020-01-31,-0.0209194995405501
2020-02-03,0.007015717348356078
2020-02-04,0.002979843058261507
2020-02-05,0.006351430138206551
2020-02-06,0.004310634832435837
2020-02-07,-0.0016138347396850337
2020-02-10,0.006043303246529867
2020-02-11,0.002710391019085352
2020-02-12,0.0027910450368445047
2020-02-13,0.0008291337441154997
2020-02-14,0.004972172837888258
2020-02-18,0.0012370900308914347
2020-02-19,-0.0021456231127523484
2020-02-20,0.0008487081223447447
2020-02-21,-0.0028442857883407336
2020-02-24,-0.023408274622563868
2020-02-25,-0.025457767147603144
2020-02-26,-0.005437597530790247
2020-02-27,-0.043122103464330395
2020-02-28,-0.01587441182052787
2020-03-02,0.04962110402957468
2020-03-03,-0.02259762813681088
2020-03-04,0.05100906195995893
2020-03-05,-0.026439315717479345
2020-03-06,-0.010540775551462348
2020-03-09,-0.058839081216557294
2020-03-10,0.032628292636963485
2020-03-11,-0.04381345017583057
2020-03-12,-0.09185135793099618
2020-03-13,0.07939537378387322
2020-03-16,-0.09725338351382584
2020-03-17,0.06772956895903548
2020-03-18,-0.027505935671696652
2020-03-19,-0.008157506414817623
2020-03-20,-0.04913224691574561
2020-03-23,-0.03481909826832476
2020-03-24,0.0753583772031638
2020-03-25,0.011189719537246323
2020-03-26,0.06733265969494484
2020-03-27,-0.023537189041393757
2020-03-30,0.037180841551336316
2020-03-31,-0.0046168415923260155
2020-04-01,-0.03913103216140296
2020-04-02,0.03350571700456685
2020-04-03,-0.008019578944733994
2020-04-06,0.04323633779027569
2020-04-07,-0.013891900670088018
2020-04-08,0.0251284584038861
2020-04-09,0.0009470804304412448
2020-04-13,0.00387759035484012
2020-04-14,0.0354919651880304
2020-04-15,-0.010623748998445162
2020-04-16,0.021905428194685498
2020-04-17,0.01674521959559265
2020-04-20,-0.0035962090538820385
2020-04-21,-0.02860462268269067
2020-04-22,0.012441357572015255
2020-04-23,-0.0001483538872154694
2020-04-24,0.011487946377566578
2020-04-27,0.004194747275448475
2020-04-28,-0.019118800471568637
2020-04-29,0.007611557631244279
2020-04-30,-0.0019136246798493169
2020-05-01,-0.01653264064930417
2020-05-04,0.007531723271712091
2020-05-05,0.019500454313310146
2020-05-06,-0.006248837809245415
2020-05-07,0.001650398342303569
2020-05-08,0.0031497506963411638
2020-05-11,0.020000113557979395
2020-05-12,-0.016192214498538336
2020-05-13,-0.003018898938474752
2020-05-14,0.006300331809353959
2020-05-15,0.008239945785891285
2020-05-18,0.0016724013038462715
2020-05-19,-0.008047596611372717
2020-05-20,0.007492418986071132
2020-05-21,-0.007225715308489332
2020-05-22,0.0011629337888703702
2020-05-26,-0.012780198482434934
2020-05-27,0.002838536183720372
2020-05-28,0.009880666500549857
2020-05-29,0.018662091506769195
2020-06-01,-0.009210863598791367
2020-06-02,0.004200921913543067
2020-06-03,-0.004567398213368122
2020-06-04,-0.007638009187043096
2020-06-05,0.006268854758945943
2020-06-08,0.0027945768778808895
2020-06-09,0.007481858617155504
2020-06-10,0.003938107531270563
2020-06-11,-0.042469357721974806
2020-06-12,0.0041269711565008
2020-06-15,0.00390738325821777
2020-06-16,0.022756644794287826
2020-06-17,0.0018552342678635919
2020-06-18,-0.004001804662752199
2020-06-19,0.012583358293594863
2020-06-22,0.00010507906737424276
2020-06-23,-0.00035397497881991944
2020-06-24,-0.014750348185041279
2020-06-25,0.010958334820318202
2020-06-26,-0.01685720915398586
2020-06-29,0.0061568277979257655
2020-06-30,0.017038864828812894
2020-07-01,0.012837431821689435
2020-07-02,0.0010297196848670807
2020-07-06,0.016224614519492097
2020-07-07,0.0008826964924317022
2020-07-08,0.008684426376793166
2020-07-09,0.0044492002015994805
2020-07-10,0.004244065353877248
2020-07-13,-0.014242417411417513
2020-07-14,0.015199494686358552
2020-07-15,0.00039565918782700685
2020-07-16,-0.0036248526173151842
2020-07-17,0.004907435093176681
2020-07-20,0.016518752881936945
2020-07-21,-0.01042349945404978
2020-07-22,0.004795345766416878
2020-07-23,-0.011247565353296681
2020-07-24,-0.004884942136404528
2020-07-27,0.012110350383657136
2020-07-28,-0.0035284955133688734
2020-07-29,0.006839821033787587
2020-07-30,-0.0027886498633655603
2020-07-31,0.0010486421220823328
2020-08-03,0.006537389791923765
2020-08-04,0.004910401052400441
2020-08-05,0.0003649614251619056
2020-08-06,0.005014097563742791
2020-08-07,-0.00536455686818571
2020-08-10,-0.005301722425685607
2020-08-11,-0.013123345866041311
2020-08-12,0.020941301259706075
2020-08-13,0.0006699377709284562
2020-08-14,-0.002259883003031003
2020-08-17,0.013605839816199497
2020-08-18,0.006897039713411928
2020-08-19,-0.004074540373135961
2020-08-20,0.00491052299242498
2020-08-21,0.003760845698090104
2020-08-24,-0.0007569549798215862
2020-08-25,0.005351696393698509
2020-08-26,0.01843410546172407
2020-08-27,0.0013241782829471456
2020-08-28,0.003949386816145148
2020-08-31,0.0022679460659445452
2020-09-01,0.007105595714708543
2020-09-02,0.015870261437416305
2020-09-03,-0.03256765802118875
2020-09-04,-0.008726423879572197
2020-09-08,-0.018251913079005096
2020-09-09,0.022260579569496796
2020-09-10,-0.013258130702632627
2020-09-11,0.0061767628091357754
2020-09-14,0.009165285878509318
2020-09-15,0.009176940932465221
2020-09-16,-0.002513836807196839
2020-09-17,-0.00714112949256962
2020-09-18,-0.005157306181265174
2020-09-21,-0.00761111448860043
2020-09-22,0.010988195634381406
2020-09-23,-0.017392542206378682
2020-09-24,0.0016238339392662217
2020-09-25,0.01084828968966436
2020-09-28,0.012948946887309387
2020-09-29,-0.0016664393720810435
2020-09-30,0.011158167565050246
2020-10-01,0.004078259071107651
2020-10-02,-0.003754948236938437
2020-10-05,0.013265517278797177
2020-10-06,-0.011116446675333957
2020-10-07,0.012189403769513402
2020-10-08,0.008165362412590313
2020-10-09,0.006252700818416113
2020-10-12,0.007186724088631384
2020-10-13,-0.006125084778250192
2020-10-14,-0.006645205363594779
2020-10-15,0.0012144952284801672
2020-10-16,0.0016643538006787528
2020-10-19,-0.01548842670380114
2020-10-20,0.003954308987802235
2020-10-21,-0.004175687114754099
2020-10-22,0.0033262939264477056
2020-10-23,0.0027768752154510843
2020-10-26,-0.01707841207360325
2020-10-27,-0.004856658695659275
2020-10-28,-0.027364802350027157
2020-10-29,0.007443882253869038
2020-10-30,-0.008443620163341431
2020-11-02,0.010111112786761946
2020-11-03,0.017078864067454527
2020-11-04,0.001156014322376588
2020-11-05,0.01831949118021824
2020-11-06,0.002633842264312251
2020-11-09,0.0018052759408062672
2020-11-10,0.007967530623726874
2020-11-11,0.009490253913082319
2020-11-12,-0.009281705344740756
2020-11-13,0.010394182880514443
2020-11-16,0.012431650149082499
2020-11-17,-0.006620459893578371
2020-11-18,-0.016955699590159985
2020-11-19,0.001251349917160939
2020-11-20,-0.0047327932138611145
2020-11-23,0.0043923770551273006
2020-11-24,0.01111288225897844
2020-11-25,0.0015297788763404029
2020-11-27,-0.0010494793981508741
2020-11-30,-0.0014514455045768642
2020-12-01,0.006675630675387375
2020-12-02,-0.0006293970983175634
2020-12-03,0.000425791218930961
2020-12-04,0.013472947684734095
2020-12-07,-0.0007906993992587225
2020-12-08,0.002214619477987728
2020-12-09,-0.008001123180739119
2020-12-10,-0.003047461320699873
2020-12-11,-0.005556104078617975
2020-12-14,-0.0029695869261929563
2020-12-15,0.010995268672514606
2020-12-16,-0.002661206313305324
2020-12-17,0.0023054871662209794
2020-12-18,-0.0029038850745784816
2020-12-21,0.0016783700972546713
2020-12-22,-0.007042011672882881
2020-12-23,0.0007062670944544619
2020-12-24,0.005507256986603546
2020-12-28,0.004606485888483178
2020-12-29,-0.0021464729003811103
2020-12-30,0.004997728388091771
2020-12-31,0.00755653817753379
2021-01-04,-0.009446825377093696
2021-01-05,0.006375603751710062
2021-01-06,0.012034499006134064
2021-01-07,0.011885742355588381
2021-01-08,0.0018383689229727036
2021-01-11,0.001110316665462755
2021-01-12,-0.002135129659389095
2021-01-13,0.00044865659332356326
2021-01-14,-0.0004926467562064981
2021-01-15,-0.010696076174403046
2021-01-19,0.002543070683243793
2021-01-20,0.004162688598824644
2021-01-21,0.0006080474787015964
2021-01-22,-0.007662023258906753
2021-01-25,-0.00041268379952929504
2021-01-26,-0.004020957998777885
2021-01-27,-0.03490385923820937
2021-01-28,0.015219669750142918
2021-01-29,-0.012572270213461523
2021-02-01,0.010089542438417554
2021-02-02,0.020375985063377292
2021-02-03,-0.004115145403880582
2021-02-04,0.015945082885169947
2021-02-05,0.003453725991373186
2021-02-08,0.016721495046940742
2021-02-09,-0.0005570745279208118
2021-02-10,0.002873207730135745
2021-02-11,0.005575108804576334
2021-02-12,0.006280766138164622
2021-02-16,0.006671825641610875
2021-02-17,-0.0005902584689655374
2021-02-18,-0.00388580494067877
2021-02-19,0.005995961796821725
2021-02-22,-0.002661215244099808
2021-02-23,0.0034889878454665143
2021-02-24,0.018872301423966887
2021-02-25,-0.022312233009657217
2021-02-26,-0.0030387611245001186
2021-03-01,0.02384219942570485
2021-03-02,-0.004097021021262268
2021-03-03,0.007924291992386107
2021-03-04,-0.013216712327261298
2021-03-05,0.017328530820959122
2021-03-08,0.012900401101415075
2021-03-09,-0.0037399892175523117
2021-03-10,0.014654162221781123
2021-03-11,-0.0009143050964788817
2021-03-12,0.01203111208112249
2021-03-15,0.006400931261352269
2021-03-16,-0.0062570495979139724
2021-03-17,0.004797900810098232
2021-03-18,-0.00034139383634905994
2021-03-19,-0.010442941748777959
